# wavelength_nm   slope_a   correlation_r
    162.5000  +1.01836634e+03  +9.15054405e-01
    163.5000  +9.28084450e+02  +9.13686873e-01
    164.5000  +7.11168319e+02  +9.12215853e-01
    165.5000  +1.08202437e+03  +9.15698413e-01
    166.5000  +7.00886911e+02  +9.13067792e-01
    167.2000  +1.03707248e+03  +9.15615506e-01
    167.7000  +3.12217796e+02  +9.04947645e-01
    168.5000  +3.00988788e+02  +9.05177273e-01
    169.5000  +2.57294797e+02  +9.06270471e-01
    170.5000  +2.60414724e+02  +9.04773266e-01
    171.5000  +3.04881207e+02  +8.98356821e-01
    172.5000  +2.56368578e+02  +8.99071865e-01
    173.5000  +2.38160198e+02  +8.93250331e-01
    174.5000  +1.88831666e+02  +8.91497098e-01
    175.5000  +1.63113957e+02  +8.79983836e-01
    176.5000  +1.70428597e+02  +8.93013834e-01
    177.5000  +1.73942118e+02  +8.86655598e-01
    178.5000  +1.48712804e+02  +8.79996948e-01
    179.5000  +1.40659026e+02  +8.64660887e-01
    180.5000  +1.31874821e+02  +8.77439977e-01
    181.5000  +1.44398842e+02  +8.88967743e-01
    182.5000  +1.21993822e+02  +8.83575585e-01
    183.5000  +1.25748559e+02  +8.86457735e-01
    184.5000  +1.54001708e+02  +9.02094273e-01
    185.5000  +1.26627322e+02  +8.81391371e-01
    186.5000  +1.19700200e+02  +8.71874327e-01
    187.5000  +1.15765517e+02  +8.74853565e-01
    188.5000  +1.13377963e+02  +8.74822285e-01
    189.5000  +9.91851555e+01  +8.64488826e-01
    190.5000  +1.01820611e+02  +8.70627089e-01
    191.5000  +1.00340090e+02  +8.66800318e-01
    192.5000  +9.85728969e+01  +8.82608748e-01
    193.5000  +1.21327030e+02  +9.04001812e-01
    194.5000  +9.09191130e+01  +8.68443509e-01
    195.5000  +9.10233171e+01  +8.68661637e-01
    196.7000  +7.98408582e+01  +8.58388551e-01
    197.6000  +8.10765390e+01  +8.73345771e-01
    198.4000  +7.57332245e+01  +8.57361915e-01
    199.5000  +7.71329784e+01  +8.51517360e-01
    200.5000  +7.77425816e+01  +8.60587103e-01
    201.5000  +7.59451490e+01  +8.58909935e-01
    202.5000  +8.59976106e+01  +8.79487566e-01
    203.5000  +7.55274179e+01  +8.58853112e-01
    204.5000  +7.18334044e+01  +8.54355517e-01
    205.5000  +6.98337322e+01  +8.61954878e-01
    206.5000  +6.99886139e+01  +8.66816076e-01
    207.4000  +7.09755006e+01  +8.63991312e-01
    207.8000  +2.61282091e+01  +8.49437830e-01
    208.5000  +2.20193876e+01  +8.47887834e-01
    209.5000  +2.38560474e+01  +8.50422098e-01
    210.5000  +2.29013360e+01  +8.60319077e-01
    211.5000  +2.12996345e+01  +8.58067893e-01
    212.5000  +2.22736163e+01  +8.67888581e-01
    213.5000  +2.14408876e+01  +8.72819558e-01
    214.5000  +1.91073078e+01  +8.67710986e-01
    215.5000  +2.18365067e+01  +8.61945644e-01
    216.5000  +2.31364562e+01  +8.70954660e-01
    217.5000  +2.53755495e+01  +8.65199944e-01
    218.5000  +1.91890989e+01  +8.69590736e-01
    219.5000  +2.19610634e+01  +8.64165117e-01
    220.5000  +2.09745930e+01  +8.70652509e-01
    221.5000  +2.62542205e+01  +8.75856038e-01
    222.5000  +2.10563910e+01  +8.78514997e-01
