# wavelength_nm   slope_a   correlation_r
    162.5000  -4.01776223e+00  -4.73364069e-02
    163.5000  -3.57625504e+00  -4.65934076e-02
    164.5000  -2.12612565e+00  -3.64780127e-02
    165.5000  -4.40904550e+00  -4.88962558e-02
    166.5000  -1.97696720e+00  -3.42578350e-02
    167.2000  -4.10615521e+00  -4.73562030e-02
    167.7000  +5.13597340e-01  +2.08204630e-02
    168.5000  +6.04910612e-01  +2.54832277e-02
    169.5000  +9.86393095e-01  +4.84328416e-02
    170.5000  +9.36096338e-01  +4.56608194e-02
    171.5000  +4.03780533e-01  +1.69711719e-02
    172.5000  +8.22581559e-01  +4.11889941e-02
    173.5000  +8.80802579e-01  +4.79762388e-02
    174.5000  +1.33529170e+00  +9.25745046e-02
    175.5000  +1.47170665e+00  +1.20394108e-01
    176.5000  +1.47077354e+00  +1.12360559e-01
    177.5000  +1.44448072e+00  +1.09647738e-01
    178.5000  +1.60570211e+00  +1.44293457e-01
    179.5000  +1.67471820e+00  +1.62419206e-01
    180.5000  +1.78355795e+00  +1.81843861e-01
    181.5000  +1.67154787e+00  +1.52518794e-01
    182.5000  +1.87407230e+00  +2.03479682e-01
    183.5000  +1.81892018e+00  +1.91236907e-01
    184.5000  +1.66955631e+00  +1.38625559e-01
    185.5000  +1.82300343e+00  +1.92151942e-01
    186.5000  +1.87392734e+00  +2.10816763e-01
    187.5000  +1.91889691e+00  +2.22391535e-01
    188.5000  +1.95231992e+00  +2.31480933e-01
    189.5000  +2.04232562e+00  +2.78362427e-01
    190.5000  +2.04769667e+00  +2.70179210e-01
    191.5000  +1.99537697e+00  +2.67214489e-01
    192.5000  +1.99048433e+00  +2.66198029e-01
    193.5000  +1.90915261e+00  +1.99126513e-01
    194.5000  +2.06926309e+00  +3.04059916e-01
    195.5000  +2.04931150e+00  +3.00743404e-01
    196.7000  +2.19975181e+00  +3.66750484e-01
    197.6000  +2.12763169e+00  +3.45589516e-01
    198.4000  +2.28620698e+00  +4.02819593e-01
    199.5000  +2.32419267e+00  +4.06142504e-01
    200.5000  +2.30216850e+00  +3.97681390e-01
    201.5000  +2.27749091e+00  +4.00277301e-01
    202.5000  +2.13507739e+00  +3.26382658e-01
    203.5000  +2.24036936e+00  +3.95003230e-01
    204.5000  +2.27593544e+00  +4.19540216e-01
    205.5000  +2.25756115e+00  +4.23015751e-01
    206.5000  +2.26181996e+00  +4.21289634e-01
    207.4000  +2.18672707e+00  +4.03477585e-01
    207.8000  +3.69760573e+00  +8.85187635e-01
    208.5000  +3.85856265e+00  +8.97753347e-01
    209.5000  +3.78400735e+00  +8.91164878e-01
    210.5000  +3.73638007e+00  +8.91490137e-01
    211.5000  +3.79330455e+00  +8.97639812e-01
    212.5000  +3.74346822e+00  +8.90564756e-01
    213.5000  +3.68492677e+00  +8.92381330e-01
    214.5000  +3.78313277e+00  +9.02182940e-01
    215.5000  +3.74640282e+00  +8.94024346e-01
    216.5000  +3.59787383e+00  +8.86337081e-01
    217.5000  +3.57463719e+00  +8.77809583e-01
    218.5000  +3.76259844e+00  +9.01503040e-01
    219.5000  +3.64941669e+00  +8.93806212e-01
    220.5000  +3.63463874e+00  +8.95562992e-01
    221.5000  +3.43766289e+00  +8.65733497e-01
    222.5000  +3.56753684e+00  +8.92210098e-01
    223.5000  +3.63917549e+00  +9.09355406e-01
    224.5000  +3.61248772e+00  +9.07105381e-01
    225.5000  +3.41075006e+00  +8.86060212e-01
    226.5000  +3.33069668e+00  +8.59076970e-01
    227.5000  +3.25809324e+00  +8.60758043e-01
    228.5000  +3.49407425e+00  +9.06823078e-01
    229.5000  +3.34525414e+00  +8.83053324e-01
    230.5000  +3.49474164e+00  +9.00903431e-01
    231.5000  +3.33991897e+00  +8.84117830e-01
    232.5000  +3.18582496e+00  +8.68145851e-01
    233.5000  +3.00850804e+00  +8.43982939e-01
    234.5000  +2.65011720e+00  +6.87317263e-01
    235.5000  +3.20369916e+00  +8.78562359e-01
    236.5000  +2.70651888e+00  +7.28120767e-01
    237.5000  +2.88219633e+00  +8.08044349e-01
    238.5000  +2.45402857e+00  +5.97513986e-01
    239.5000  +2.59082239e+00  +6.93018564e-01
    240.5000  +2.54532032e+00  +6.95536582e-01
    241.5000  +2.77742478e+00  +7.48171213e-01
    242.5000  +3.14779674e+00  +8.82240730e-01
