# wavelength_nm   slope_a   correlation_r
    162.5000  -6.02931386e+02  -8.98694439e-01
    163.5000  -5.50280066e+02  -9.00209817e-01
    164.5000  -4.21550382e+02  -9.01588706e-01
    165.5000  -6.40347989e+02  -8.98178779e-01
    166.5000  -4.14855219e+02  -9.00639881e-01
    167.2000  -6.13583464e+02  -8.98105036e-01
    167.7000  -1.84752112e+02  -9.09156478e-01
    168.5000  -1.77887957e+02  -9.08701624e-01
    169.5000  -1.51202658e+02  -9.07307123e-01
    170.5000  -1.53408094e+02  -9.08926882e-01
    171.5000  -1.82042159e+02  -9.16351975e-01
    172.5000  -1.52256583e+02  -9.15304536e-01
    173.5000  -1.42290367e+02  -9.21216833e-01
    174.5000  -1.12150602e+02  -9.22358890e-01
    175.5000  -9.77582121e+01  -9.32669351e-01
    176.5000  -1.00680275e+02  -9.20990588e-01
    177.5000  -1.03602879e+02  -9.26740841e-01
    178.5000  -8.87595023e+01  -9.32527725e-01
    179.5000  -8.51935240e+01  -9.44119456e-01
    180.5000  -7.84136060e+01  -9.34176480e-01
    181.5000  -8.51066323e+01  -9.24296431e-01
    182.5000  -7.17088225e+01  -9.28769757e-01
    183.5000  -7.38290632e+01  -9.26400130e-01
    184.5000  -8.94730507e+01  -9.11154798e-01
    185.5000  -7.48081277e+01  -9.30960028e-01
    186.5000  -7.12769538e+01  -9.38530446e-01
    187.5000  -6.85500768e+01  -9.36076237e-01
    188.5000  -6.70279283e+01  -9.35918641e-01
    189.5000  -5.88640585e+01  -9.43670110e-01
    190.5000  -6.00701463e+01  -9.38997171e-01
    191.5000  -5.95078177e+01  -9.42342467e-01
    192.5000  -5.73545906e+01  -9.29719185e-01
    193.5000  -6.94991736e+01  -9.08757350e-01
    194.5000  -5.34475154e+01  -9.40918886e-01
    195.5000  -5.35312810e+01  -9.40882940e-01
    196.7000  -4.69172358e+01  -9.47474220e-01
    197.6000  -4.69890997e+01  -9.36873217e-01
    198.4000  -4.42552614e+01  -9.47547699e-01
    199.5000  -4.53655900e+01  -9.51005762e-01
    200.5000  -4.53169146e+01  -9.45045604e-01
    201.5000  -4.43262287e+01  -9.46553045e-01
    202.5000  -4.96505651e+01  -9.31661543e-01
    203.5000  -4.41326903e+01  -9.46947617e-01
    204.5000  -4.19792521e+01  -9.49788747e-01
    205.5000  -4.04012620e+01  -9.44815945e-01
    206.5000  -4.02614702e+01  -9.41160140e-01
    207.4000  -4.11350505e+01  -9.44015145e-01
    207.8000  -1.10084548e+01  -9.05796729e-01
    208.5000  -8.16434259e+00  -8.76487473e-01
    209.5000  -9.40665208e+00  -8.88506162e-01
    210.5000  -8.73428713e+00  -8.71003131e-01
    211.5000  -7.67476858e+00  -8.59038198e-01
    212.5000  -8.22324961e+00  -8.53646337e-01
    213.5000  -7.72887473e+00  -8.42909734e-01
    214.5000  -6.19935933e+00  -8.17704077e-01
    215.5000  -8.03005615e+00  -8.59945783e-01
    216.5000  -8.94404636e+00  -8.65338524e-01
    217.5000  -1.04540385e+01  -8.85077006e-01
    218.5000  -6.26572160e+00  -8.18605605e-01
    219.5000  -8.23524860e+00  -8.65795751e-01
    220.5000  -7.55763872e+00  -8.48418745e-01
    221.5000  -1.10437903e+01  -8.81509143e-01
    222.5000  -7.60704831e+00  -8.41035756e-01
    223.5000  -4.79237766e+00  -7.69278817e-01
    224.5000  -5.13350662e+00  -7.80044013e-01
    225.5000  -7.89150761e+00  -8.40091077e-01
    226.5000  -1.11771130e+01  -8.78073068e-01
    227.5000  -1.10820442e+01  -8.82890826e-01
    228.5000  -5.23505979e+00  -7.84413582e-01
    229.5000  -8.46243889e+00  -8.53745407e-01
    230.5000  -6.32307377e+00  -8.18385214e-01
    231.5000  -8.41805775e+00  -8.55335857e-01
    232.5000  -9.17791082e+00  -8.55630618e-01
    233.5000  -1.01312223e+01  -8.57382431e-01
    234.5000  -1.76701812e+01  -8.82298357e-01
    235.5000  -8.29709124e+00  -8.46217174e-01
    236.5000  -1.56738435e+01  -8.78952386e-01
    237.5000  -1.23566130e+01  -8.74165165e-01
    238.5000  -2.11980306e+01  -8.84711324e-01
    239.5000  -1.69491866e+01  -8.82084564e-01
    240.5000  -1.63380620e+01  -8.80386954e-01
    241.5000  -1.52462656e+01  -8.79941390e-01
    242.5000  -7.55798032e+00  -8.35048852e-01
    243.5000  -7.24597281e+00  -8.29979864e-01
    244.5000  -5.43044951e+00  -7.92959710e-01
    245.5000  -4.70973213e+00  -7.66681181e-01
    246.5000  -8.08930348e+00  -8.48270565e-01
    247.5000  -1.01076050e+01  -8.65367009e-01
    248.5000  -3.07339368e+01  -9.08024969e-01
    249.5000  -1.81178703e+01  -8.92109427e-01
    250.5000  -1.05809599e+01  -8.78319680e-01
    251.3000  -2.72646480e+01  -8.96167180e-01
    251.8000  -3.78106240e+01  -8.91729449e-01
    252.5000  -3.33959861e+01  -8.92598558e-01
    253.5000  -1.30915804e+01  -8.66298145e-01
    254.5000  -1.32083615e+01  -8.72736753e-01
    255.5000  -2.66297114e+00  -6.56040341e-01
    256.5000  -6.12318566e+00  -8.05791193e-01
    257.5000  -3.11489911e+00  -6.93922468e-01
    258.5000  -4.43412147e+00  -7.60214750e-01
    259.5000  -5.79444974e+00  -8.00158924e-01
    260.5000  -7.85524311e+00  -8.31990203e-01
    261.5000  -9.60087793e+00  -8.46577216e-01
    262.5000  -5.91982396e+00  -8.04391149e-01
    263.5000  -3.32160804e-01  -1.61312705e-01
    264.5000  +3.89785464e-01  +2.36715891e-01
    265.5000  +2.09502443e+00  +9.27446503e-01
    266.5000  -6.35458926e-02  -3.56095264e-02
    267.5000  +4.27702154e-01  +2.62726763e-01
    268.5000  +1.27863736e+00  +7.30462686e-01
    269.5000  -8.69764372e-01  -3.84341992e-01
    270.5000  +2.32934422e-01  +1.49957327e-01
    271.5000  -1.90070188e+00  -6.05695878e-01
    272.5000  -6.37662586e+00  -8.33186217e-01
    273.5000  -2.88282371e+00  -7.07832240e-01
    274.5000  -7.94626946e+00  -8.39197948e-01
    275.5000  -3.91737795e+00  -7.56916439e-01
    276.5000  -1.72836218e+00  -5.83641293e-01
    277.5000  -1.95288640e+00  -6.36049915e-01
    278.5000  -7.42903459e+00  -8.46864855e-01
    279.5000  -2.16337107e+01  -8.78013520e-01
    280.5000  -1.71639684e+01  -8.75240889e-01
    281.5000  -3.57686376e+00  -7.70737163e-01
    282.5000  -1.16522527e+00  -5.01676331e-01
    283.5000  -2.21750755e+00  -6.71788817e-01
    284.5000  -8.55678003e+00  -8.79042510e-01
    285.5000  -2.02565161e+01  -8.97354004e-01
    286.5000  -4.23494681e+00  -8.01976636e-01
    287.5000  +4.64274158e-02  +2.88491690e-02
    288.5000  -7.51858307e-01  -3.80835949e-01
    289.5000  +9.78517104e-01  +6.59267676e-01
    291.0000  +1.83970673e+00  +9.38903742e-01
    293.0000  +1.25803665e+00  +8.19620510e-01
    295.0000  +7.18536301e-01  +5.28693375e-01
