# wavelength_nm   slope_a   correlation_r
    162.5000  +1.82537373e+00  +9.82883925e-01
    163.5000  +1.81742501e+00  +9.84468297e-01
    164.5000  +1.80963729e+00  +9.85783302e-01
    165.5000  +1.81751924e+00  +9.83983874e-01
    166.5000  +1.80170001e+00  +9.86958038e-01
    167.2000  +1.81170087e+00  +9.83076486e-01
    167.7000  +1.75777530e+00  +9.91156050e-01
    168.5000  +1.75738801e+00  +9.91552646e-01
    169.5000  +1.74416849e+00  +9.93055315e-01
    170.5000  +1.75359704e+00  +9.91742271e-01
    171.5000  +1.77671479e+00  +9.87327686e-01
    172.5000  +1.76128048e+00  +9.89735142e-01
    173.5000  +1.77751664e+00  +9.85942473e-01
    174.5000  +1.78177357e+00  +9.84178037e-01
    175.5000  +1.81267548e+00  +9.75319145e-01
    176.5000  +1.75689867e+00  +9.88528565e-01
    177.5000  +1.80341292e+00  +9.78336356e-01
    178.5000  +1.80473071e+00  +9.77064052e-01
    179.5000  +1.88087512e+00  +9.52442592e-01
    180.5000  +1.82009310e+00  +9.71632082e-01
    181.5000  +1.76839974e+00  +9.85702981e-01
    182.5000  +1.78839270e+00  +9.79676676e-01
    183.5000  +1.76804083e+00  +9.85017280e-01
    184.5000  +1.72419130e+00  +9.93877568e-01
    185.5000  +1.79674344e+00  +9.77555629e-01
    186.5000  +1.83187709e+00  +9.66864857e-01
    187.5000  +1.81985618e+00  +9.70436538e-01
    188.5000  +1.82455397e+00  +9.68559533e-01
    189.5000  +1.83904010e+00  +9.63212036e-01
    190.5000  +1.82937618e+00  +9.66578589e-01
    191.5000  +1.81646094e+00  +9.70220641e-01
    192.5000  +1.75001161e+00  +9.87504865e-01
    193.5000  +1.70110944e+00  +9.96463845e-01
    194.5000  +1.80037431e+00  +9.74274974e-01
    195.5000  +1.79402496e+00  +9.75838498e-01
    196.7000  +1.83300170e+00  +9.63816657e-01
    197.6000  +1.77137067e+00  +9.81074961e-01
    198.4000  +1.85078135e+00  +9.57382164e-01
    199.5000  +1.88843420e+00  +9.44733846e-01
    200.5000  +1.85884811e+00  +9.54491950e-01
    201.5000  +1.84586447e+00  +9.58823575e-01
    202.5000  +1.77277443e+00  +9.80611684e-01
    203.5000  +1.83096982e+00  +9.63331638e-01
    204.5000  +1.83913067e+00  +9.60563495e-01
    205.5000  +1.80509993e+00  +9.70894943e-01
    206.5000  +1.79556824e+00  +9.73717791e-01
    207.4000  +1.77786086e+00  +9.78341709e-01
    207.8000  +2.16493176e+00  +8.66325119e-01
    208.5000  +2.20652201e+00  +8.54418476e-01
    209.5000  +2.18952530e+00  +8.59221309e-01
    210.5000  +2.16633512e+00  +8.67577601e-01
    211.5000  +2.17541768e+00  +8.64918002e-01
    212.5000  +2.15541655e+00  +8.71830496e-01
    213.5000  +2.13464894e+00  +8.78160703e-01
    214.5000  +2.16263269e+00  +8.70730325e-01
    215.5000  +2.16180342e+00  +8.69464567e-01
    216.5000  +2.11504838e+00  +8.83590988e-01
    217.5000  +2.11923606e+00  +8.79883640e-01
    218.5000  +2.15049117e+00  +8.75558646e-01
    219.5000  +2.12609176e+00  +8.79932321e-01
    220.5000  +2.11713706e+00  +8.84085608e-01
