# wavelength_nm   slope_a   correlation_r
    162.5000  +1.87178514e+00  +9.93448422e-01
    163.5000  +1.86135338e+00  +9.93939958e-01
    164.5000  +1.85152662e+00  +9.94357355e-01
    165.5000  +1.86213450e+00  +9.93839496e-01
    166.5000  +1.84166679e+00  +9.94750590e-01
    167.2000  +1.85736630e+00  +9.93798031e-01
    167.7000  +1.78933145e+00  +9.96474022e-01
    168.5000  +1.78844750e+00  +9.96542966e-01
    169.5000  +1.77219745e+00  +9.97067835e-01
    170.5000  +1.78412118e+00  +9.96657680e-01
    171.5000  +1.81334500e+00  +9.95449196e-01
    172.5000  +1.79431221e+00  +9.96181161e-01
    173.5000  +1.81485720e+00  +9.95215819e-01
    174.5000  +1.82073765e+00  +9.94829806e-01
    175.5000  +1.86007201e+00  +9.92611534e-01
    176.5000  +1.78993494e+00  +9.96092496e-01
    177.5000  +1.84821003e+00  +9.93349105e-01
    178.5000  +1.85034934e+00  +9.93096113e-01
    179.5000  +1.94693406e+00  +9.86859692e-01
    180.5000  +1.87032183e+00  +9.91788651e-01
    181.5000  +1.80479348e+00  +9.95377827e-01
    182.5000  +1.83083673e+00  +9.93913362e-01
    183.5000  +1.80492489e+00  +9.95269276e-01
    184.5000  +1.74931132e+00  +9.97601420e-01
    185.5000  +1.84119199e+00  +9.93361570e-01
    186.5000  +1.88597398e+00  +9.90666562e-01
    187.5000  +1.87089344e+00  +9.91585299e-01
    188.5000  +1.87714254e+00  +9.91143626e-01
    189.5000  +1.89584469e+00  +9.89843476e-01
    190.5000  +1.88354492e+00  +9.90677545e-01
    191.5000  +1.86719122e+00  +9.91619580e-01
    192.5000  +1.78312549e+00  +9.96057243e-01
    193.5000  +1.72035181e+00  +9.98428267e-01
    194.5000  +1.84729870e+00  +9.92702519e-01
    195.5000  +1.83939209e+00  +9.93115634e-01
    196.7000  +1.88899174e+00  +9.90094455e-01
    197.6000  +1.81128772e+00  +9.94513971e-01
    198.4000  +1.91227293e+00  +9.88525443e-01
    199.5000  +1.96001532e+00  +9.85296017e-01
    200.5000  +1.92274852e+00  +9.87813485e-01
    201.5000  +1.90616862e+00  +9.88906266e-01
    202.5000  +1.81330429e+00  +9.94406578e-01
    203.5000  +1.88729311e+00  +9.90062766e-01
    204.5000  +1.89782203e+00  +9.89378446e-01
    205.5000  +1.85474587e+00  +9.92001576e-01
    206.5000  +1.84272503e+00  +9.92714430e-01
