# wavelength_nm   slope_a   correlation_r
    162.5000  +5.18218824e+00  +9.92076831e-01
    163.5000  +5.15186318e+00  +9.92722005e-01
    164.5000  +5.11765001e+00  +9.93303871e-01
    165.5000  +5.09784543e+00  +9.92420040e-01
    166.5000  +5.06514942e+00  +9.93748248e-01
    167.2000  +5.08794933e+00  +9.92370473e-01
    167.7000  +4.79364218e+00  +9.95807226e-01
    168.5000  +4.79251023e+00  +9.95892132e-01
    169.5000  +4.71079893e+00  +9.96546615e-01
    170.5000  +4.76158945e+00  +9.96029953e-01
    171.5000  +4.86590146e+00  +9.94395922e-01
    172.5000  +4.76956995e+00  +9.95305956e-01
    173.5000  +4.82365773e+00  +9.93961118e-01
    174.5000  +4.82979000e+00  +9.93414924e-01
    175.5000  +4.95490689e+00  +9.90324148e-01
    176.5000  +4.66237171e+00  +9.94973549e-01
    177.5000  +4.90315350e+00  +9.91311598e-01
    178.5000  +4.89892216e+00  +9.90911121e-01
    179.5000  +5.26466523e+00  +9.82597679e-01
    180.5000  +4.93986840e+00  +9.88986782e-01
    181.5000  +4.68848484e+00  +9.93922843e-01
    182.5000  +4.74008653e+00  +9.91737161e-01
    183.5000  +4.65629683e+00  +9.93655172e-01
    184.5000  +4.45399233e+00  +9.96996237e-01
    185.5000  +4.78907048e+00  +9.90941693e-01
    186.5000  +4.95302885e+00  +9.87197920e-01
    187.5000  +4.88183567e+00  +9.88384757e-01
    188.5000  +4.89473143e+00  +9.87717565e-01
    189.5000  +4.94499989e+00  +9.85787026e-01
    190.5000  +4.89372961e+00  +9.86952193e-01
    191.5000  +4.83651750e+00  +9.88209409e-01
    192.5000  +4.50051531e+00  +9.94494598e-01
    193.5000  +4.28874372e+00  +9.98008667e-01
    194.5000  +4.72839530e+00  +9.89555441e-01
    195.5000  +4.69031540e+00  +9.90116771e-01
    196.7000  +4.86515347e+00  +9.85783366e-01
    197.6000  +4.53622281e+00  +9.91978557e-01
    198.4000  +4.94521225e+00  +9.83527646e-01
    199.5000  +5.13960845e+00  +9.79202672e-01
    200.5000  +4.97986908e+00  +9.82445918e-01
    201.5000  +4.90827350e+00  +9.83893883e-01
    202.5000  +4.54644932e+00  +9.91751239e-01
    203.5000  +4.82786276e+00  +9.85408839e-01
    204.5000  +4.86334610e+00  +9.84406944e-01
    205.5000  +4.67300518e+00  +9.88041771e-01
    206.5000  +4.61786621e+00  +9.89054109e-01
    207.4000  +4.54585225e+00  +9.90759290e-01
    207.8000  +6.18141578e+00  +9.60383070e-01
    208.5000  +6.36522542e+00  +9.57387522e-01
    209.5000  +6.27112595e+00  +9.58562947e-01
    210.5000  +6.09751979e+00  +9.61196326e-01
    211.5000  +6.17525129e+00  +9.60263665e-01
    212.5000  +6.05860680e+00  +9.62388302e-01
    213.5000  +5.90203990e+00  +9.63992010e-01
    214.5000  +6.04098689e+00  +9.62285765e-01
    215.5000  +6.08622604e+00  +9.61552259e-01
    216.5000  +5.80021256e+00  +9.65410992e-01
    217.5000  +5.86314726e+00  +9.63710709e-01
    218.5000  +6.00136541e+00  +9.63645836e-01
    219.5000  +5.91065315e+00  +9.64056960e-01
    220.5000  +5.81611829e+00  +9.65517855e-01
    221.5000  +5.57640963e+00  +9.68922100e-01
    222.5000  +5.66450064e+00  +9.67888920e-01
